Plot,Treatment,Block,Cultivar,NSource,NRate,Year,Seedyield,Oilyield,Biodieselyield,,,
1,16,1,BlaineCreek,N2,N120,2016,222.82,60.48,26.55,,,
2,2,1,Pronghorn,N1,N40,2016,633.21,182.05,79.92,,,
3,5,1,BlaineCreek,N1,N00,2016,127.84,35.26,15.48,,,
4,1,1,Pronghorn,N1,N00,2016,681.6,200.12,87.85,,,
5,13,1,BlaineCreek,N2,N00,2016,234.77,60.03,26.35,,,
6,14,1,BlaineCreek,N2,N40,2016,489.84,131.38,57.67,,,
7,15,1,BlaineCreek,N2,N80,2016,83.63,23.05,10.12,,,
8,11,1,Pronghorn,N2,N80,2016,690.56,204.08,89.59,,,
9,7,1,BlaineCreek,N1,N80,2016,299.28,81.13,35.61,,,
10,13,1,BlaineCreek,N2,N00,2016,910.39,265.61,116.6,,,
11,10,1,Pronghorn,N2,N40,2016,330.35,92.98,40.82,,,
12,10,1,Pronghorn,N2,N40,2016,1157.71,352.25,154.64,,,
13,11,1,Pronghorn,N2,N80,2016,289.73,81.73,35.88,,,
14,5,1,BlaineCreek,N1,N00,2016,450.42,129.26,56.74,,,
15,1,1,Pronghorn,N1,N00,2016,89.61,22.63,9.93,,,
16,12,1,Pronghorn,N2,N120,2016,659.5,187.84,82.46,,,
17,8,2,BlaineCreek,N1,N120,2016,131.42,32.56,14.29,,,
18,9,2,Pronghorn,N2,N00,2016,1063.92,335.37,147.23,,,
19,12,2,Pronghorn,N2,N120,2016,545.4,159.2,69.89,,,
20,15,2,BlaineCreek,N2,N80,2016,1295.1,371.83,163.23,,,
21,2,2,Pronghorn,N1,N40,2016,434.89,126.76,55.65,,,
22,8,2,BlaineCreek,N1,N120,2016,1715.65,506.28,222.26,,,
23,6,2,BlaineCreek,N1,N40,2016,262.84,71.34,31.32,,,
24,16,2,BlaineCreek,N2,N120,2016,1244.92,316.42,138.91,,,
25,4,2,Pronghorn,N1,N120,2016,252.69,72.54,31.85,,,
